match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
2651,2025,"nedeľa 14.09.2025, 19:00",7. kolo,Ivan Kružliak,FC DAC 1904 Dunajská Streda,FK Železiarne Podbrezová,2,0,1.65,0.79,21,16,4,5,5,5,13,13,2,3,0,0,51.3,48.7,4682
2652,2025,"sobota 13.09.2025, 18:02",7. kolo,Matej Choreň,MFK Skalica,FC Spartak Trnava,0,4,0.13,2.6,4,17,1,4,5,6,16,15,2,1,1,0,34.4,65.6,3013
2653,2025,"sobota 13.09.2025, 18:00",7. kolo,Michal Očenáš,AS Trenčín,MFK Ružomberok,0,3,0.28,0.57,8,9,2,2,8,3,16,15,5,3,0,0,66,34,1713
2654,2025,"sobota 13.09.2025, 20:30",7. kolo,Martin Dohál,MŠK Žilina,ŠK Slovan Bratislava,3,3,2.1,2.25,5,23,3,9,3,16,16,13,3,2,0,1,35,65,5599
2655,2025,"nedeľa 14.09.2025, 17:00",7. kolo,Bálint Kišš,MFK Zemplín Michalovce,FC Tatran Prešov,1,2,0.89,1.62,11,12,6,2,8,7,19,12,5,5,0,0,67.7,32.3,2896
2656,2025,"sobota 20.09.2025, 18:00",8. kolo,Igor Valent,FK Železiarne Podbrezová,AS Trenčín,2,0,2.2,1.64,14,15,5,3,0,7,14,16,3,2,0,0,39.2,60.8,825
2657,2025,"nedeľa 21.09.2025, 17:00",8. kolo,Marián Ruc,KFC Komárno,MŠK Žilina,1,3,2.58,2.13,18,11,6,6,4,4,13,11,2,3,1,0,46.7,53.3,415
2658,2025,"sobota 20.09.2025, 18:00",8. kolo,Peter Ziemba,MFK Skalica,FC Košice,1,0,0.59,0.85,10,15,4,5,5,2,12,20,1,5,0,0,38.3,61.7,623
2659,2025,"sobota 20.09.2025, 18:00",8. kolo,Erik Gemzický,FC Tatran Prešov,MFK Ružomberok,1,3,1.49,1.68,21,10,3,7,8,5,6,17,1,2,1,0,70,30,6369
2660,2025,"sobota 20.09.2025, 20:30",8. kolo,Peter Kráľovič,ŠK Slovan Bratislava,FC DAC 1904 Dunajská Streda,3,2,1.85,1.89,10,15,6,4,4,6,15,14,1,0,0,0,42.6,57.4,9487
2661,2025,"nedeľa 21.09.2025, 19:00",8. kolo,Filip Glova,FC Spartak Trnava,MFK Zemplín Michalovce,0,1,2.68,0.18,31,3,7,2,14,3,10,13,2,6,0,1,67.9,32.1,5379
2662,2025,"sobota 27.09.2025, 18:04",9. kolo,Ivan Kružliak,FC DAC 1904 Dunajská Streda,KFC Komárno,1,1,2.79,0.47,37,10,10,3,6,3,7,13,1,1,0,0,70,30,5650
2663,2025,"sobota 27.09.2025, 18:00",9. kolo,Boris Marhefka,MFK Zemplín Michalovce,MFK Skalica,2,0,1.33,0.42,18,8,11,0,8,3,13,9,1,0,0,0,50.5,49.5,1173
2664,2025,"nedeľa 28.09.2025, 19:00",9. kolo,Michal Smolák,MŠK Žilina,FC Spartak Trnava,2,2,1.82,1.38,11,18,4,3,0,7,10,19,0,3,0,0,42.2,57.8,4261
2665,2025,"sobota 27.09.2025, 20:32",9. kolo,Michal Očenáš,FC Košice,FC Tatran Prešov,2,2,1.99,1,21,8,8,6,8,2,21,8,5,2,0,0,61.5,38.5,8111
2666,2025,"sobota 27.09.2025, 18:00",9. kolo,Lukáš Dzivjak,AS Trenčín,ŠK Slovan Bratislava,1,2,1.82,2.87,17,11,5,3,3,7,20,15,2,3,0,0,46.6,53.4,4318
2667,2025,"nedeľa 28.09.2025, 17:00",9. kolo,Martin Dohál,MFK Ružomberok,FK Železiarne Podbrezová,1,0,0.52,0.52,10,11,3,2,4,2,11,11,3,2,0,0,47.1,52.9,1141
2668,2025,"sobota 04.10.2025, 18:00",10. kolo,Michal Smolák,KFC Komárno,FC Tatran Prešov,0,0,1.68,0.67,19,11,3,2,4,7,16,10,1,1,0,0,45.6,54.4,375
2669,2025,"nedeľa 05.10.2025, 17:00",10. kolo,Marián Ruc,MFK Skalica,FC DAC 1904 Dunajská Streda,1,1,1.49,2.79,10,23,2,8,5,6,13,13,2,1,1,0,33.4,66.6,661
2670,2025,"sobota 04.10.2025, 20:30",10. kolo,Matej Choreň,MŠK Žilina,FC Košice,4,1,2.41,1.76,14,18,9,5,2,8,8,10,1,2,0,0,42.5,57.5,1756
2671,2025,"streda 03.12.2025, 18:00",10. kolo,Filip Glova,ŠK Slovan Bratislava,MFK Ružomberok,1,2,1.68,0.97,18,13,7,5,8,2,12,11,3,4,0,0,75.4,24.6,3119
2672,2025,"sobota 04.10.2025, 18:00",10. kolo,Boris Benedik,MFK Zemplín Michalovce,AS Trenčín,2,0,2.15,0.69,19,9,9,0,8,5,16,12,2,1,0,0,51.2,48.8,1208
2673,2025,"streda 03.12.2025, 18:00",10. kolo,Bálint Kišš,FK Železiarne Podbrezová,FC Spartak Trnava,1,3,1.15,1.37,15,11,5,6,10,5,17,9,5,3,0,1,63.5,36.5,727
2674,2025,"nedeľa 19.10.2025, 15:30",11. kolo,Boris Marhefka,FC Košice,MFK Zemplín Michalovce,3,2,1.44,0.77,12,9,4,2,2,3,12,13,2,2,0,0,39.1,60.9,5076
2675,2025,"sobota 18.10.2025, 18:02",11. kolo,Erik Gemzický,FC Spartak Trnava,ŠK Slovan Bratislava,0,2,0.55,0.79,9,9,3,2,6,1,26,13,5,2,1,0,46.2,53.8,17011
