match_id,season,date,round,referee,stadium,attendance,home_team,away_team,home_score,away_score,home_formation,away_formation,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,home_offsides,away_offsides,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_clearances,away_clearances,home_big_chances_missed,away_big_chances_missed,home_aerials_won,away_aerials_won,status
l1_championship_match_73162,2025,2025-09-28,6,Willy DELAJOD,STADE RAYMOND-KOPA,10210,Angers SCO,Brest,0,2,442,4231,55,45,11,7,2,3,5,3,4,1,11,4,13,13,1,1,,,0.479,1.561,2,1,452,366,384,266,8,18,5,11,1,2,20,34,,,15,20,full_time
l1_championship_match_73163,2025,2025-09-28,6,Mathieu VERNICE,DECATHLON ARENA – STADE PIERRE-MAUROY,45287,LOSC,OL,0,1,4231,433,52,48,14,5,3,2,4,1,7,2,3,4,20,24,4,4,,,1.472,0.628,1,1,429,369,363,300,7,11,1,3,1,3,11,40,2,1,13,13,full_time
l1_championship_match_73165,2025,2025-09-28,6,Guillaume PARADIS,STADE SAINT-SYMPHORIEN,19976,FC Metz,Havre AC,0,0,3421,433,52,48,7,10,,2,5,2,2,6,4,6,16,16,2,2,,,0.504,0.434,1,2,421,367,376,306,18,12,10,6,2,,30,26,1,,9,6,full_time
l1_championship_match_73166,2025,2025-09-28,6,Abdelatif KHERRADJI,ALLIANZ RIVIERA,20049,OGC Nice,Paris FC,1,1,3412,433,45,55,11,13,5,3,2,3,4,7,5,5,14,14,1,1,,,0.956,1.846,1,1,392,512,319,437,15,16,12,11,2,4,17,20,2,1,14,14,full_time
l1_championship_match_73168,2025,2025-09-28,6,Bastien DECHEPY,ROAZHON PARK,26414,Rennes,RC Lens,0,0,352,3421,61,39,14,13,2,2,6,8,6,3,8,4,16,9,3,2,,1,1.186,1.035,1,,529,257,464,181,17,29,8,11,2,2,17,29,3,4,11,14,full_time
l1_championship_match_73178,2025,2025-10-03,7,Benoît MILLOT,STADE JEAN BOUIN,18084,Paris FC,FC Lorient,2,0,433,3421,57,43,10,8,2,3,6,4,2,1,1,5,19,10,,3,,,1.022,0.968,3,2,653,452,597,382,17,13,12,9,3,,28,11,1,2,15,17,full_time
l1_championship_match_73171,2025,2025-10-04,7,François LETEXIER,STADE DE L'ABBÉ-DESCHAMPS,17243,AJ Auxerre,RC Lens,1,2,541,3421,55,45,18,7,2,4,7,1,9,2,2,2,10,21,3,6,,1,1.785,0.409,,2,514,397,420,324,20,16,8,7,2,1,10,29,1,,14,20,full_time
l1_championship_match_73172,2025,2025-10-04,7,Gaël ANGOULA,STADE FRANCIS-LE BLÉ,14941,Brest,FC Nantes,0,0,4231,4141,49,51,17,6,5,,5,4,7,2,12,3,11,12,2,1,,,1.507,0.174,1,3,388,390,318,328,24,13,15,7,,5,17,41,2,,8,18,full_time
l1_championship_match_73176,2025,2025-10-04,7,Clément TURPIN,STADE SAINT-SYMPHORIEN,28538,FC Metz,OM,0,3,3421,4231,40,60,4,21,1,9,2,10,1,2,4,4,8,7,,,,,0.157,2.715,2,2,375,639,322,586,10,13,6,9,6,1,19,18,,2,5,8,full_time
l1_championship_match_73173,2025,2025-10-05,7,Jérémie PIGNARD,STADE OCÉANE,17802,Havre AC,Rennes,2,2,433,352,45,55,10,9,2,3,7,4,1,2,3,4,13,9,1,2,,,1.715,1.203,3,2,390,544,316,464,13,16,9,11,1,,30,25,2,,12,11,full_time
l1_championship_match_73174,2025,2025-10-05,7,Benoît BASTIEN,DECATHLON ARENA – STADE PIERRE-MAUROY,47355,LOSC,PSG,1,1,433,433,40,60,9,17,3,5,2,7,4,5,3,5,11,12,1,1,,,0.645,1.498,1,,389,656,317,600,19,9,9,6,4,2,21,20,,3,7,5,full_time
l1_championship_match_73175,2025,2025-10-05,7,Thomas LEONARD,GROUPAMA STADIUM,51414,OL,Toulouse FC,1,2,4231,343,64,36,13,14,3,3,7,5,3,6,8,5,13,17,1,3,,,1.173,1.466,2,,583,257,504,183,11,12,8,9,2,2,12,34,2,1,13,25,full_time
