match_id,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
8118,28/09/2025 18:30,"10. kolo, Základní část | neděle 28/09/2025, 18:30 | Doosan Aréna |",S. Volek,FC Viktoria Plzeň,FC Zlín,0,1,1.75,1.15,19,15,3,4,10,3,18,10,3,3,,,66,35,
8119,27/09/2025 15:00,"10. kolo, Základní část | sobota 27/09/2025, 15:00 | Městský fotbalový stadion Miroslava Valenty |",D. Vokoun,1.FC Slovácko,MFK Karviná,1,2,1.38,0.98,16,10,3,6,2,9,16,12,3,1,0,1,57,43,
8120,28/09/2025 13:00,"10. kolo, Základní část | neděle 28/09/2025, 13:00 | AGC Aréna Na Stínadlech |",J. Všetečka,FK Teplice,FK Pardubice,0,0,0.38,0.33,5,8,1,0,2,4,18,15,1,1,,,45,55,
8121,28/09/2025 15:30,"10. kolo, Základní část | neděle 28/09/2025, 15:30 | Stadion Střelnice |",J. Beneš,FK Jablonec,FK Mladá Boleslav,2,0,2.84,0.63,14,6,4,1,4,3,15,13,3,4,,,41,59,
8122,04/10/2025 15:00,"11. kolo, Základní část | sobota 04/10/2025, 15:00 | Na Julisce |",D. Starý,FK Dukla Praha,FK Teplice,1,3,0.25,1.78,6,14,2,5,2,5,15,14,1,3,1,0,42,58,
8123,05/10/2025 15:30,"11. kolo, Základní část | neděle 05/10/2025, 15:30 | Andrův stadión |",S. Volek,SK Sigma Olomouc,FK Jablonec,2,0,0.62,0.96,10,14,3,3,4,7,15,15,0,1,,,45,55,
8124,04/10/2025 18:00,"11. kolo, Základní část | sobota 04/10/2025, 18:00 | Stadión U Nisy |",L. Nehasil,FC Slovan Liberec,Bohemians Praha 1905,0,0,1.05,0.72,17,10,2,4,5,0,10,14,0,3,,,63,37,
8125,05/10/2025 18:30,"11. kolo, Základní část | neděle 05/10/2025, 18:30 | epet ARENA |",J. Všetečka,AC Sparta Praha,SK Slavia Praha,1,1,1.37,0.49,18,8,3,5,9,2,10,23,4,4,0,1,67,33,
8126,05/10/2025 13:00,"11. kolo, Základní část | neděle 05/10/2025, 13:00 | Letná |",O. Berka,FC Zlín,FC Baník Ostrava,1,1,2.48,0.66,19,12,9,4,6,4,9,16,1,1,,,40,61,
8127,05/10/2025 15:30,"11. kolo, Základní část | neděle 05/10/2025, 15:30 | Doosan Aréna |",J. Beneš,FC Viktoria Plzeň,FC Hradec Králové,3,3,3.19,0.75,18,7,7,5,5,2,17,13,5,3,0,1,64,37,
8128,04/10/2025 15:00,"11. kolo, Základní část | sobota 04/10/2025, 15:00 | Stadion Arnošta Košťála |",M. Radina,FK Pardubice,MFK Karviná,2,1,2.22,1.44,15,14,5,4,4,5,12,11,4,1,,,40,60,
8129,04/10/2025 15:00,"11. kolo, Základní část | sobota 04/10/2025, 15:00 | LOKOTRANS ARÉNA |",K. Rouček,FK Mladá Boleslav,1.FC Slovácko,0,0,0.69,0.57,15,5,5,1,9,5,10,6,1,1,,,77,23,
8130,19/10/2025 13:00,"12. kolo, Základní část | neděle 19/10/2025, 13:00 | Městský stadion Ostrava |",L. Nehasil,FC Baník Ostrava,FC Hradec Králové,0,1,0.83,0.64,19,10,4,5,7,2,12,11,1,0,,,51,49,
8131,18/10/2025 15:00,"12. kolo, Základní část | sobota 18/10/2025, 15:00 | Ďolíček |",J. Wulkan,Bohemians Praha 1905,FC Viktoria Plzeň,0,1,0.98,0.94,14,15,2,5,4,2,13,9,3,2,1,0,43,58,
8132,18/10/2025 18:00,"12. kolo, Základní část | sobota 18/10/2025, 18:00 | Fortuna Arena |",J. Beneš,SK Slavia Praha,FC Zlín,0,0,0.51,0.29,10,8,4,1,6,2,13,14,2,3,,,69,31,
8133,18/10/2025 15:00,"12. kolo, Základní část | sobota 18/10/2025, 15:00 | AGC Aréna Na Stínadlech |",M. Radina,FK Teplice,FC Slovan Liberec,1,1,1.12,2.33,9,17,4,5,3,6,13,23,3,2,,,38,62,
8134,19/10/2025 18:30,"12. kolo, Základní část | neděle 19/10/2025, 18:30 | Stadion Střelnice |",L. Szikszay,FK Jablonec,FK Dukla Praha,0,0,1.32,0.88,17,6,6,1,3,4,9,20,1,5,,,68,32,
8135,19/10/2025 15:30,"12. kolo, Základní část | neděle 19/10/2025, 15:30 | Městský fotbalový stadion Miroslava Valenty |",D. Starý,1.FC Slovácko,AC Sparta Praha,0,0,0.28,0.62,9,10,2,3,6,6,17,17,4,1,,,33,67,
8136,18/10/2025 15:00,"12. kolo, Základní část | sobota 18/10/2025, 15:00 | Městský stadion Karviná |",D. Černý,MFK Karviná,SK Sigma Olomouc,1,1,1.32,1.73,16,12,5,3,3,8,12,10,1,1,,,53,47,
8137,18/10/2025 15:00,"12. kolo, Základní část | sobota 18/10/2025, 15:00 | Stadion Arnošta Košťála |",S. Volek,FK Pardubice,FK Mladá Boleslav,2,1,2.6,0.75,17,10,6,7,6,3,21,11,3,2,0,1,56,44,
